OrderId,Return_reason
OR-057952,Item not as described
OR-110629,Delayed delivery
OR-017279,Item not as described
OR-031043,Item not as described
OR-053637,Poor customer service
OR-071047,Incorrect item shipped
OR-021731,Item not as described
OR-100972,Delayed delivery
OR-071982,Incorrect item shipped
OR-006770,Poor customer service
OR-028875,No longer needed
OR-077892,Delayed delivery
OR-007936,Delayed delivery
OR-002305,Poor customer service
OR-059958,Delayed delivery
OR-043719,Changed mind
OR-125782,Damaged item
OR-083373,Delayed delivery
OR-044820,Poor customer service
OR-066090,Changed mind
OR-052584,Incorrect item shipped
OR-048503,Received wrong quantity
OR-114032,Item not as described
OR-087403,Received wrong quantity
OR-061508,Received wrong quantity
OR-001253,Incorrect item shipped
OR-120400,No longer needed
OR-098284,Delayed delivery
OR-045449,Item not as described
OR-068963,Received wrong quantity
OR-031726,Delayed delivery
OR-102300,Poor customer service
OR-066409,No longer needed
OR-008178,No longer needed
OR-005092,Changed mind
OR-090771,Product no longer wanted
OR-013152,Incorrect item shipped
OR-016126,Better price found elsewhere
OR-005418,Item not as described
OR-022681,No longer needed
OR-052815,Delayed delivery
OR-028871,Delayed delivery
OR-064363,Incorrect item shipped
OR-009115,Item not as described
OR-052021,Received wrong quantity
OR-017441,Item not as described
OR-031784,Product no longer wanted
OR-055986,Received wrong quantity
OR-025564,Item not as described
OR-114951,Damaged item
OR-059911,Delayed delivery
OR-107334,Changed mind
OR-065011,Poor customer service
OR-070927,Item not as described
OR-091988,Delayed delivery
OR-035349,No longer needed
OR-052729,Incorrect item shipped
OR-003670,Received wrong quantity
OR-059486,Better price found elsewhere
OR-040900,Damaged item
OR-083903,Delayed delivery
OR-076634,Poor customer service
OR-026286,Delayed delivery
OR-106538,Item not as described
OR-022317,Better price found elsewhere
OR-078602,Incorrect item shipped
OR-054578,No longer needed
OR-014472,Changed mind
OR-070560,Poor customer service
OR-101320,Delayed delivery
OR-065314,Changed mind
OR-059205,Received wrong quantity
OR-017084,Changed mind
OR-037084,Received wrong quantity
OR-078108,No longer needed
OR-074432,No longer needed
OR-053215,Delayed delivery
OR-000079,Better price found elsewhere
OR-109257,Incorrect item shipped
OR-015963,Item not as described
OR-098871,Delayed delivery
OR-123451,Received wrong quantity
OR-108588,Incorrect item shipped
OR-016029,Received wrong quantity
OR-060384,Incorrect item shipped
OR-003810,Poor customer service
OR-048811,Poor customer service
OR-062760,Delayed delivery
OR-119395,Delayed delivery
OR-102962,Product no longer wanted
OR-006549,Poor customer service
OR-014054,Delayed delivery
OR-118158,Item not as described
OR-069103,Changed mind
OR-113884,Better price found elsewhere
OR-083407,Item not as described
OR-088415,Delayed delivery
OR-068803,Changed mind
OR-109147,Item not as described
OR-071727,Poor customer service
OR-094209,Better price found elsewhere
OR-114976,No longer needed
OR-036353,Received wrong quantity
OR-038617,Item not as described
OR-094444,Poor customer service
OR-044813,Delayed delivery
OR-011559,Product no longer wanted
OR-027281,Damaged item
OR-118118,Damaged item
OR-119772,Received wrong quantity
OR-036286,Damaged item
OR-078808,No longer needed
OR-056446,Incorrect item shipped
OR-010397,Item not as described
OR-023011,Incorrect item shipped
OR-075820,Item not as described
OR-111122,Product no longer wanted
OR-001504,Product no longer wanted
OR-073338,Received wrong quantity
OR-012982,No longer needed
OR-096310,Changed mind
OR-066034,Changed mind
OR-072496,Item not as described
OR-034291,Better price found elsewhere
OR-029460,Damaged item
OR-051451,Incorrect item shipped
OR-041045,Item not as described
OR-015143,Delayed delivery
OR-032001,Received wrong quantity
OR-044632,Incorrect item shipped
OR-003113,Better price found elsewhere
OR-009167,No longer needed
OR-093783,Received wrong quantity
OR-092575,Received wrong quantity
OR-072900,Damaged item
OR-028399,Delayed delivery
OR-050537,Delayed delivery
OR-068473,Poor customer service
OR-042702,Product no longer wanted
OR-013151,Product no longer wanted
OR-020302,Received wrong quantity
OR-007825,Poor customer service
OR-016499,Received wrong quantity
OR-097290,Poor customer service
OR-076232,Poor customer service
OR-082951,Poor customer service
OR-028263,Item not as described
OR-119319,No longer needed
OR-086767,Incorrect item shipped
OR-123900,Changed mind
OR-091986,Received wrong quantity
OR-063341,Incorrect item shipped
OR-100928,Received wrong quantity
OR-089744,Damaged item
OR-087942,Item not as described
OR-015684,Poor customer service
OR-006715,Item not as described
OR-007633,Product no longer wanted
OR-108443,No longer needed
OR-097858,Poor customer service
OR-080087,No longer needed
OR-040258,Incorrect item shipped
OR-003539,Delayed delivery
OR-019244,Incorrect item shipped
OR-124609,Delayed delivery
OR-108605,Damaged item
OR-113675,No longer needed
OR-040018,Incorrect item shipped
OR-110212,Better price found elsewhere
OR-064884,Product no longer wanted
OR-063078,Damaged item
OR-105449,Item not as described
OR-110329,Changed mind
OR-055572,Delayed delivery
OR-097644,Changed mind
OR-030622,Item not as described
OR-087355,Changed mind
OR-078669,Item not as described
OR-077317,Item not as described
OR-092844,Changed mind
OR-004697,Better price found elsewhere
OR-080216,No longer needed
OR-060449,Product no longer wanted
OR-097685,Received wrong quantity
OR-102877,No longer needed
OR-063275,No longer needed
OR-107873,Incorrect item shipped
OR-124422,Received wrong quantity
OR-023170,No longer needed
OR-037450,Delayed delivery
OR-074434,Incorrect item shipped
OR-059235,Product no longer wanted
OR-124604,Received wrong quantity
OR-025821,Product no longer wanted
