order_id,payment_value,payment_type,payment_installments
CA-2014-100006,82.8960037231445,credit_card,2
CA-2014-100090,2854.69995117188,credit_card,4
CA-2014-100293,79.3600006103516,credit_card,5
CA-2014-100328,89.5439987182617,debit_card,6
CA-2014-100363,354,credit_card,8
CA-2014-100391,76.7519989013672,credit_card,4
CA-2014-100678,269.048004150391,credit_card,2
CA-2014-100706,492.376007080078,credit_card,1
CA-2014-100762,757.570007324219,credit_card,5
CA-2014-100860,113.888000488281,credit_card,10
CA-2014-100867,219.839996337891,credit_card,8
CA-2014-100881,31.5599994659424,credit_card,3
CA-2014-100895,1127.31005859375,credit_card,2
CA-2014-100916,52.6959991455078,credit_card,1
CA-2014-100972,8.5600004196167,credit_card,5
CA-2014-101147,848.544006347656,credit_card,5
CA-2014-101175,87.5999984741211,credit_card,2
CA-2014-101266,26.7199993133545,credit_card,3
CA-2014-101364,47.6160011291504,credit_card,3
CA-2014-101392,26.5499992370605,credit_card,8
CA-2014-101427,46.8639984130859,credit_card,4
CA-2014-101462,30.3449993133545,credit_card,2
CA-2014-101476,21.2479991912842,credit_card,10
CA-2014-101560,212.802001953125,credit_card,1
CA-2014-101602,103.34400177002,credit_card,3
CA-2014-101770,9.87199974060059,credit_card,3
CA-2014-101833,8.60000038146973,credit_card,1
CA-2014-101931,231.526000976563,debit_card,10
CA-2014-102085,240.369995117188,debit_card,1
CA-2014-102274,267.044006347656,credit_card,2
CA-2014-102295,251.005996704102,credit_card,1
CA-2014-102330,2816.47998046875,credit_card,1
CA-2014-102645,815.2919921875,credit_card,8
CA-2014-102652,698.719970703125,credit_card,6
CA-2014-102673,760.638000488281,credit_card,3
CA-2014-102869,89.4400024414063,debit_card,10
CA-2014-102988,557.10400390625,credit_card,4
CA-2014-103058,6.91200017929077,credit_card,4
CA-2014-103086,1099.9599609375,credit_card,10
CA-2014-103100,42.9420013427734,credit_card,3
CA-2014-103191,17.8999996185303,credit_card,2
CA-2014-103219,3.61999988555908,credit_card,6
CA-2014-103310,3150.10205078125,credit_card,4
CA-2014-103317,575.89501953125,debit_card,1
CA-2014-103366,3.98399996757507,voucher,10
CA-2014-103373,27.8159999847412,credit_card,12
CA-2014-103401,14.7299995422363,credit_card,1
CA-2014-103429,1028.46594238281,debit_card,8
CA-2014-103492,231.675994873047,credit_card,2
CA-2014-103527,19.9799995422363,credit_card,4
CA-2014-103590,45.3600006103516,credit_card,5
CA-2014-103660,8.92800045013428,credit_card,8
CA-2014-103702,3,debit_card,7
CA-2014-103744,48.2859992980957,credit_card,8
CA-2014-103800,14.3999996185303,credit_card,1
CA-2014-103807,233.259994506836,credit_card,2
CA-2014-103849,663.599975585938,credit_card,1
CA-2014-103940,4672.423828125,debit_card,6
CA-2014-103989,195.11799621582,credit_card,3
CA-2014-104178,836.72998046875,debit_card,7
CA-2014-104269,20.8199996948242,credit_card,1
CA-2014-104283,373.376007080078,credit_card,5
CA-2014-104402,7.90000009536743,credit_card,10
CA-2014-104472,34.3199996948242,credit_card,10
CA-2014-104563,1468.92797851563,credit_card,3
CA-2014-104738,683.02197265625,credit_card,1
CA-2014-104773,58.0800018310547,voucher,3
CA-2014-104808,4.96000003814697,credit_card,1
CA-2014-104829,79.9739990234375,credit_card,10
CA-2014-104976,19.9200000762939,credit_card,4
CA-2014-105165,757.018005371094,debit_card,2
CA-2014-105172,559.710021972656,credit_card,10
CA-2014-105249,1425.54797363281,credit_card,2
CA-2014-105270,1170.57604980469,credit_card,5
CA-2014-105340,180.960006713867,credit_card,10
CA-2014-105417,78.3519973754883,credit_card,2
CA-2014-105648,103.599998474121,debit_card,2
CA-2014-105872,16.3799991607666,credit_card,8
CA-2014-105893,335.519989013672,credit_card,2
CA-2014-105984,202.580001831055,credit_card,2
CA-2014-106054,474.950012207031,credit_card,3
CA-2014-106229,310.442993164063,credit_card,6
CA-2014-106264,357.484008789063,credit_card,1
CA-2014-106376,77.8899993896484,credit_card,10
CA-2014-106439,4701.36376953125,credit_card,3
CA-2014-106572,26,credit_card,10
CA-2014-106719,4.57200002670288,credit_card,3
CA-2014-106726,82.8000030517578,credit_card,1
CA-2014-106803,144.449996948242,credit_card,1
CA-2014-106810,1439.98205566406,credit_card,3
CA-2014-106971,38.8199996948242,credit_card,10
CA-2014-107139,19.1040000915527,credit_card,5
CA-2014-107181,35.681999206543,credit_card,1
CA-2014-107398,123.540000915527,credit_card,10
CA-2014-107454,1150.97998046875,credit_card,1
CA-2014-107524,248.248001098633,credit_card,1
CA-2014-107573,113.372001647949,credit_card,10
CA-2014-107594,49.2400016784668,credit_card,1
CA-2014-107755,6.91200017929077,debit_card,2
CA-2014-107769,254.352005004883,debit_card,4
CA-2014-107811,63.3120002746582,credit_card,1
CA-2014-107818,56.4000015258789,credit_card,2
CA-2014-107916,229.136001586914,debit_card,2
CA-2014-108147,1399.35998535156,credit_card,8
CA-2014-108182,14.6199998855591,credit_card,2
CA-2014-108189,990.953186035156,credit_card,4
CA-2014-108273,203.160003662109,credit_card,3
CA-2014-108609,79.9000015258789,credit_card,5
CA-2014-108707,67.1760025024414,credit_card,2
CA-2014-108861,181.796997070313,credit_card,4
CA-2014-108903,1737.59997558594,credit_card,3
CA-2014-109043,44.1279983520508,credit_card,3
CA-2014-109127,4.44799995422363,credit_card,2
CA-2014-109134,257.940002441406,credit_card,2
CA-2014-109218,13.6319999694824,credit_card,2
CA-2014-109232,82.3440017700195,credit_card,3
CA-2014-109302,652.994995117188,voucher,10
CA-2014-109491,416.664001464844,credit_card,1
CA-2014-109680,34.5,credit_card,8
CA-2014-109855,50.9970016479492,credit_card,4
CA-2014-109890,108.080001831055,credit_card,1
CA-2014-109897,25.07200050354,debit_card,4
CA-2014-109904,795.408020019531,debit_card,8
CA-2014-109918,254.223999023438,credit_card,3
CA-2014-109932,101.884002685547,credit_card,2
CA-2014-110030,196.210006713867,credit_card,10
CA-2014-110065,68.9800033569336,credit_card,5
CA-2014-110072,10.4280004501343,credit_card,4
CA-2014-110100,7.10400009155273,credit_card,7
CA-2014-110184,167.171997070313,credit_card,2
CA-2014-110219,568.72802734375,debit_card,10
CA-2014-110408,46.3139991760254,credit_card,6
CA-2014-110527,15.5520000457764,credit_card,3
CA-2014-110555,590.432006835938,credit_card,3
CA-2014-110611,91.0319976806641,credit_card,10
CA-2014-110639,435.915985107422,credit_card,5
CA-2014-110786,1854.42199707031,credit_card,3
CA-2014-110849,252.61799621582,credit_card,5
CA-2014-111003,285.25,credit_card,2
CA-2014-111059,18.2070007324219,credit_card,10
CA-2014-111150,82.2399978637695,credit_card,5
CA-2014-111157,753.906005859375,credit_card,10
CA-2014-111192,2.07999992370605,credit_card,10
CA-2014-111360,11.5600004196167,credit_card,3
CA-2014-111451,2449.8369140625,debit_card,2
CA-2014-111500,2040.09997558594,credit_card,4
CA-2014-111773,31.1760005950928,credit_card,10
CA-2014-111857,38.7099990844727,credit_card,2
CA-2014-111871,20.7000007629395,credit_card,2
CA-2014-111899,1125.92004394531,credit_card,2
CA-2014-111934,86.25,credit_card,3
CA-2014-111962,120.143997192383,credit_card,2
CA-2014-112158,90.7119979858398,credit_card,5
CA-2014-112291,791.679992675781,credit_card,1
CA-2014-112326,37.2480010986328,voucher,4
CA-2014-112403,91.9599990844727,voucher,2
CA-2014-112718,85.9800033569336,credit_card,2
CA-2014-112837,227.975997924805,credit_card,5
CA-2014-112851,8.22599983215332,credit_card,6
CA-2014-113047,11.7840003967285,credit_card,2
CA-2014-113257,681.190002441406,credit_card,7
CA-2014-113271,1239.87194824219,debit_card,2
CA-2014-113320,67.2689971923828,credit_card,1
CA-2014-113362,1694.16003417969,credit_card,2
CA-2014-113383,645.822021484375,credit_card,3
CA-2014-113579,414,credit_card,6
CA-2014-113768,967.919982910156,credit_card,7
CA-2014-113859,515.880004882813,credit_card,4
CA-2014-113880,109.919998168945,credit_card,2
CA-2014-113887,67.8399963378906,credit_card,5
CA-2014-113929,359.074005126953,credit_card,1
CA-2014-113964,73.568000793457,credit_card,2
CA-2014-114125,136.296005249023,credit_card,1
CA-2014-114181,184.436004638672,credit_card,3
CA-2014-114195,509.380004882813,credit_card,10
CA-2014-114251,1411.63793945313,credit_card,5
CA-2014-114314,361.399993896484,credit_card,10
CA-2014-114321,448.332000732422,credit_card,4
CA-2014-114335,14.3039999008179,credit_card,9
CA-2014-114433,31.8400001525879,debit_card,4
CA-2014-114510,993.864013671875,credit_card,9
CA-2014-114517,766.719970703125,credit_card,6
CA-2014-114643,13.9200000762939,credit_card,8
CA-2014-114790,1237.416015625,credit_card,10
CA-2014-115056,419.899993896484,credit_card,2
CA-2014-115084,841.567993164063,credit_card,10
CA-2014-115133,404.466003417969,credit_card,2
CA-2014-115161,10.3680000305176,credit_card,1
CA-2014-115259,768.075988769531,credit_card,2
CA-2014-115357,546.659973144531,credit_card,1
CA-2014-115791,1382.47998046875,credit_card,1
CA-2014-115812,1638.00402832031,credit_card,12
CA-2014-115889,395.506011962891,credit_card,2
CA-2014-115973,50.3199996948242,debit_card,3
CA-2014-115980,201.740005493164,credit_card,1
CA-2014-116190,2122.91796875,credit_card,8
CA-2014-116239,209.699996948242,credit_card,2
CA-2014-116246,45.9799995422363,debit_card,3
CA-2014-116407,1108,credit_card,10
CA-2014-116568,124.360000610352,credit_card,2
CA-2014-116666,177.979995727539,debit_card,10
CA-2014-116673,163.880004882813,credit_card,2
CA-2014-116757,589.335021972656,credit_card,1
CA-2014-116785,217.275497436523,credit_card,4
CA-2014-116834,258.600006103516,credit_card,5
CA-2014-116904,709.302001953125,credit_card,3
CA-2014-116932,564.504028320313,credit_card,10
CA-2014-117016,319.967987060547,credit_card,1
CA-2014-117345,1327.43798828125,credit_card,3
CA-2014-117429,121.791999816895,voucher,10
CA-2014-117464,319.808013916016,credit_card,3
CA-2014-117478,120.980003356934,voucher,2
CA-2014-117639,37.0999984741211,credit_card,1
CA-2014-117709,89.9909973144531,debit_card,2
CA-2014-117765,224.039993286133,credit_card,4
CA-2014-118192,316.167999267578,credit_card,1
CA-2014-118276,65.568000793457,credit_card,2
CA-2014-118304,141.960006713867,credit_card,2
CA-2014-118339,5922.55810546875,credit_card,8
CA-2014-118962,1791.22399902344,credit_card,8
CA-2014-118976,320.515991210938,debit_card,4
CA-2014-119032,64.6800003051758,credit_card,10
CA-2014-119144,283.959991455078,debit_card,4
CA-2014-119151,107.860000610352,credit_card,7
CA-2014-119172,166.324005126953,credit_card,7
CA-2014-119375,1356.68395996094,credit_card,6
CA-2014-119466,2676.67211914063,credit_card,8
CA-2014-119529,313.721984863281,voucher,1
