PaymentID,OrderID,PaymentDate,GiftCardUsage,GiftCardAmount,CouponUsage,CouponAmount,PaymentMethodID
PAY-000001,OR-000001,2012-08-02 21:30:00+00:00,No,,Yes,499.0,PM-002
PAY-000002,OR-000002,2023-11-23 13:29:00+00:00,Yes,3928.0,Yes,225.0,PM-005
PAY-000003,OR-000003,2013-03-07 08:07:00+00:00,No,,Yes,226.0,PM-001
PAY-000004,OR-000004,2023-09-13 06:02:00+00:00,Yes,714.0,Yes,459.0,PM-002
PAY-000005,OR-000005,2024-01-01 02:31:00+00:00,No,,No,,PM-002
PAY-000006,OR-000006,2023-12-15 11:56:00+00:00,Yes,3155.0,No,,PM-002
PAY-000007,OR-000007,2024-03-11 23:35:00+00:00,No,,Yes,192.0,PM-002
PAY-000008,OR-000008,2022-11-09 10:30:00+00:00,No,,No,,PM-002
PAY-000009,OR-000009,2023-10-23 23:40:00+00:00,Yes,4439.0,Yes,23.0,PM-003
PAY-000010,OR-000010,2023-07-10 20:36:00+00:00,Yes,3167.0,No,,PM-002
PAY-000011,OR-000011,2019-07-18 18:13:00+00:00,Yes,3538.0,Yes,319.0,PM-002
PAY-000012,OR-000012,2024-01-07 13:54:00+00:00,Yes,4564.0,Yes,477.0,PM-004
PAY-000013,OR-000013,2017-07-05 08:41:00+00:00,No,,Yes,269.0,PM-002
PAY-000014,OR-000014,2022-12-29 23:52:00+00:00,Yes,2768.0,Yes,168.0,PM-003
PAY-000015,OR-000015,2024-03-11 06:18:00+00:00,Yes,2612.0,No,,PM-002
PAY-000016,OR-000016,2021-12-11 02:18:00+00:00,Yes,1621.0,No,,PM-002
PAY-000017,OR-000017,2022-12-26 12:20:00+00:00,Yes,2603.0,Yes,448.0,PM-002
PAY-000018,OR-000018,2016-12-12 02:53:00+00:00,No,,No,,PM-002
PAY-000019,OR-000019,2017-06-13 11:09:00+00:00,No,,No,,PM-002
PAY-000020,OR-000020,2024-06-07 02:54:00+00:00,Yes,3429.0,No,,PM-002
PAY-000021,OR-000021,2024-03-12 04:32:00+00:00,No,,Yes,478.0,PM-002
PAY-000022,OR-000022,2020-07-11 13:08:00+00:00,No,,Yes,248.0,PM-002
PAY-000023,OR-000023,2021-06-10 05:19:00+00:00,No,,Yes,16.0,PM-001
PAY-000024,OR-000024,2024-06-07 11:41:00+00:00,Yes,2829.0,No,,PM-003
PAY-000025,OR-000025,2015-10-05 17:41:00+00:00,No,,Yes,29.0,PM-002
PAY-000026,OR-000026,2024-06-12 12:24:00+00:00,No,,Yes,249.0,PM-002
PAY-000027,OR-000027,2023-02-23 07:54:00+00:00,Yes,746.0,No,,PM-002
PAY-000028,OR-000028,2021-10-26 18:25:00+00:00,Yes,1663.0,Yes,242.0,PM-002
PAY-000029,OR-000029,2023-06-03 03:59:00+00:00,No,,No,,PM-002
PAY-000030,OR-000030,2022-03-15 06:07:00+00:00,Yes,1287.0,No,,PM-002
PAY-000031,OR-000031,2023-08-27 16:26:00+00:00,No,,Yes,182.0,PM-002
PAY-000032,OR-000032,2022-05-05 16:09:00+00:00,No,,Yes,499.0,PM-002
PAY-000033,OR-000033,2022-07-15 03:43:00+00:00,Yes,2120.0,No,,PM-002
PAY-000034,OR-000034,2024-06-12 08:56:00+00:00,Yes,2756.0,No,,PM-005
PAY-000035,OR-000035,2022-03-11 08:58:00+00:00,No,,No,,PM-003
PAY-000036,OR-000036,2011-11-11 20:55:00+00:00,No,,Yes,250.0,PM-004
PAY-000037,OR-000037,2023-11-08 19:38:00+00:00,No,,No,,PM-002
PAY-000038,OR-000038,2024-06-02 00:52:00+00:00,No,,No,,PM-002
PAY-000039,OR-000039,2020-08-30 04:20:00+00:00,Yes,1930.0,No,,PM-002
PAY-000040,OR-000040,2024-01-22 09:07:00+00:00,No,,No,,PM-002
PAY-000041,OR-000041,2023-05-14 14:19:00+00:00,No,,Yes,307.0,PM-002
PAY-000042,OR-000042,2020-10-08 23:15:00+00:00,Yes,4692.0,Yes,81.0,PM-002
PAY-000043,OR-000043,2024-06-15 13:04:00+00:00,No,,No,,PM-002
PAY-000044,OR-000044,2024-03-11 16:26:00+00:00,No,,Yes,249.0,PM-002
PAY-000045,OR-000045,2021-12-14 03:22:00+00:00,Yes,4126.0,No,,PM-002
PAY-000046,OR-000046,2019-01-22 11:23:00+00:00,No,,No,,PM-003
PAY-000047,OR-000047,2023-05-27 05:56:00+00:00,No,,No,,PM-002
PAY-000048,OR-000048,2024-06-14 06:28:00+00:00,Yes,2035.0,Yes,173.0,PM-002
PAY-000049,OR-000049,2024-04-25 05:17:00+00:00,Yes,2929.0,No,,PM-002
PAY-000050,OR-000050,2021-03-10 15:11:00+00:00,Yes,2550.0,Yes,461.0,PM-003
PAY-000051,OR-000051,2017-08-27 07:32:00+00:00,Yes,685.0,No,,PM-002
PAY-000052,OR-000052,2016-11-03 19:38:00+00:00,No,,No,,PM-002
PAY-000053,OR-000053,2019-02-24 18:04:00+00:00,No,,No,,PM-002
PAY-000054,OR-000054,2013-12-29 00:01:00+00:00,Yes,3093.0,Yes,308.0,PM-002
PAY-000055,OR-000055,2020-09-07 03:55:00+00:00,No,,No,,PM-002
PAY-000056,OR-000056,2008-08-18 05:40:00+00:00,No,,Yes,427.0,PM-004
PAY-000057,OR-000057,2023-08-05 10:17:00+00:00,No,,Yes,390.0,PM-005
PAY-000058,OR-000058,2023-06-23 13:51:00+00:00,No,,No,,PM-002
PAY-000059,OR-000059,2023-02-26 11:13:00+00:00,Yes,4592.0,No,,PM-002
PAY-000060,OR-000060,2023-03-08 12:43:00+00:00,No,,Yes,252.0,PM-002
PAY-000061,OR-000061,2022-09-01 14:53:00+00:00,Yes,3565.0,Yes,50.0,PM-002
PAY-000062,OR-000062,2020-06-10 02:55:00+00:00,No,,No,,PM-001
PAY-000063,OR-000063,2023-02-12 01:21:00+00:00,Yes,1205.0,Yes,229.0,PM-001
PAY-000064,OR-000064,2023-08-31 19:54:00+00:00,No,,Yes,43.0,PM-002
PAY-000065,OR-000065,2021-09-14 22:27:00+00:00,No,,Yes,75.0,PM-002
PAY-000066,OR-000066,2010-10-17 16:05:00+00:00,Yes,4538.0,Yes,79.0,PM-002
PAY-000067,OR-000067,2020-12-04 03:22:00+00:00,No,,Yes,389.0,PM-002
PAY-000068,OR-000068,2019-04-11 06:06:00+00:00,Yes,1188.0,No,,PM-002
PAY-000069,OR-000069,2023-08-26 19:57:00+00:00,Yes,873.0,No,,PM-005
