OrderItemID,OrderID,ProductID,Quantity
OR-FSJ-55748023,OR-92942,PRD-00113,4
OR-GDJ-76364972,OR-92942,PRD-00008,2
OR-CA-21656349,OR-81240,PRD-00023,2
OR-ACMP-19459250,OR-81240,PRD-00020,4
OR-FS-64021006,OR-60027,PRD-00004,3
OR-SC-93169347,OR-60027,PRD-00004,1
OR-EW-34193760,OR-60027,PRD-00001,2
OR-AE-39766954,OR-60027,PRD-00001,4
OR-TDB-90268828,OR-62812,PRD-00120,2
OR-S-16199457,OR-62812,PRD-00430,2
OR-J-57952387,OR-62812,PRD-00008,1
OR-CS-10628386,OR-62812,PRD-00428,5
OR-ACMP-30272430,OR-62812,PRD-00012,3
OR-EW-26595573,OR-71246,PRD-00013,4
OR-CA-50422288,OR-71246,PRD-00004,3
OR-C-99171356,OR-71246,PRD-00002,2
OR-KHA-44493616,OR-71246,PRD-00082,4
OR-SC-51119249,OR-14205,PRD-00003,4
OR-CS-16908796,OR-84772,PRD-00001,4
OR-GDJ-42267785,OR-78522,PRD-00088,5
OR-HC-46722631,OR-53790,PRD-00011,2
OR-C-37557074,OR-53790,PRD-00002,4
OR-AA-80079508,OR-53790,PRD-00011,5
OR-FS-27601342,OR-53790,PRD-00001,1
OR-MF-35280620,OR-53790,PRD-00340,1
OR-HPC-76554834,OR-75230,PRD-00006,3
OR-S-50881634,OR-75230,PRD-00048,4
OR-J-74506312,OR-75230,PRD-00003,5
OR-CP-50895161,OR-75230,PRD-00028,4
OR-KHA-91645914,OR-14017,PRD-00003,3
OR-FSJ-15786548,OR-14017,PRD-00011,1
OR-I-59122521,OR-14017,PRD-00037,1
OR-AA-46559526,OR-14017,PRD-00094,2
OR-W-32365843,OR-14017,PRD-00002,1
OR-HPC-14874570,OR-22606,PRD-00003,1
OR-FS-26428023,OR-22606,PRD-00009,5
OR-HC-85111118,OR-78630,PRD-00002,3
OR-CS-39007865,OR-78630,PRD-00136,5
OR-SC-46944903,OR-78630,PRD-00002,4
OR-FSJ-36165042,OR-78630,PRD-00408,3
OR-HD-38560593,OR-49124,PRD-00020,3
OR-CS-28232771,OR-78704,PRD-00379,5
OR-AA-63631041,OR-62804,PRD-00004,2
OR-S-64671340,OR-17468,PRD-00024,4
OR-AA-49500206,OR-17468,PRD-00301,5
OR-SC-84384020,OR-17468,PRD-00325,4
OR-J-64472901,OR-17468,PRD-00002,4
OR-EW-99915891,OR-24766,PRD-00011,5
OR-BBSG-11952825,OR-24766,PRD-00004,4
OR-S-94612546,OR-24766,PRD-00043,1
OR-FS-95309119,OR-83570,PRD-00011,5
OR-LN-65615243,OR-83570,PRD-00012,3
OR-HC-51789320,OR-83570,PRD-00001,3
OR-CS-75936386,OR-83570,PRD-00099,1
OR-MF-34825016,OR-83570,PRD-00043,2
OR-EW-31572814,OR-53877,PRD-00010,1
OR-BL-66033447,OR-53877,PRD-00416,5
OR-WW-41632233,OR-53877,PRD-00002,3
OR-J-60767935,OR-53877,PRD-00001,3
OR-KHA-57709599,OR-38911,PRD-00220,2
OR-C-50689602,OR-93662,PRD-00003,5
OR-FSJ-18299029,OR-55733,PRD-00007,5
OR-BF-24214798,OR-55733,PRD-00012,4
OR-S-60704365,OR-55733,PRD-00241,4
OR-BL-13374986,OR-71290,PRD-00134,5
OR-W-50914666,OR-71290,PRD-00052,4
OR-C-58106178,OR-58230,PRD-00387,4
OR-GDJ-64255436,OR-58230,PRD-00376,3
OR-S-69445333,OR-58230,PRD-00007,2
OR-GDJ-92008204,OR-83259,PRD-00061,3
OR-S-99258714,OR-83259,PRD-00006,4
OR-C-11640858,OR-83259,PRD-00290,1
OR-EW-32432323,OR-45647,PRD-00003,4
OR-CA-89952097,OR-45647,PRD-00012,4
OR-S-41102917,OR-45647,PRD-00001,1
OR-WW-48808331,OR-45647,PRD-00067,3
OR-MF-16382053,OR-45647,PRD-00084,3
OR-AE-62152708,OR-18077,PRD-00001,5
OR-J-99495911,OR-18077,PRD-00356,4
OR-MF-44893988,OR-18077,PRD-00013,4
OR-I-52863637,OR-18077,PRD-00038,4
OR-CP-64948349,OR-49473,PRD-00125,2
OR-HC-39896576,OR-49473,PRD-00071,4
OR-AEF-91073360,OR-28823,PRD-00013,3
OR-D-83331036,OR-28823,PRD-00432,2
OR-J-19889428,OR-28823,PRD-00001,3
OR-W-50893961,OR-28823,PRD-00417,3
OR-DN-21399899,OR-28823,PRD-00019,3
OR-W-32464240,OR-82260,PRD-00042,5
OR-B-98040069,OR-82260,PRD-00001,3
OR-FSJ-41102862,OR-82260,PRD-00006,1
OR-CS-50472577,OR-94218,PRD-00091,3
OR-BL-97378353,OR-94218,PRD-00073,1
OR-J-55075295,OR-94218,PRD-00151,1
OR-TDB-65871872,OR-81184,PRD-00048,4
OR-EW-88847216,OR-81184,PRD-00095,4
OR-C-85395208,OR-84315,PRD-00121,5
OR-FSJ-37100369,OR-84315,PRD-00002,1
OR-C-78781658,OR-84315,PRD-00002,3
OR-EW-21704452,OR-55818,PRD-00002,1
OR-HES-92330861,OR-68009,PRD-00047,1
OR-C-80485547,OR-68009,PRD-00177,2
OR-C-17698126,OR-68009,PRD-00011,1
OR-MF-67040292,OR-68009,PRD-00001,2
OR-SC-65926719,OR-20694,PRD-00003,5
OR-J-51167732,OR-20694,PRD-00081,5
OR-MF-26692731,OR-14602,PRD-00004,5
OR-C-87102374,OR-14602,PRD-00486,1
OR-H-21611862,OR-14602,PRD-00417,1
OR-TP-74349640,OR-14602,PRD-00008,1
OR-KD-60012277,OR-14602,PRD-00003,5
OR-BL-73876796,OR-98159,PRD-00012,3
OR-C-26388273,OR-39999,PRD-00015,5
OR-FS-73345487,OR-39999,PRD-00035,1
OR-BL-63232282,OR-40815,PRD-00036,1
OR-WW-32631872,OR-76903,PRD-00001,1
OR-HCA-54565723,OR-32035,PRD-00082,3
OR-FS-36747362,OR-32035,PRD-00007,4
OR-LN-22068419,OR-32035,PRD-00131,3
OR-C-62809782,OR-26610,PRD-00002,4
