PaymentID,OrderID,PaymentDate,GiftCardUsage,GiftCardAmount,CouponUsage,CouponAmount,PaymentMethodID
PAY-74652,OR-10563,2016-06-23 18:00:00,No,,Yes,348.0,PM-004
PAY-19773,OR-32794,2018-08-13 03:06:00,Yes,4284.0,No,,PM-002
PAY-98113,OR-77463,2003-08-29 00:04:00,Yes,1221.0,No,,PM-002
PAY-35661,OR-37356,2024-03-02 20:45:00,Yes,4558.0,Yes,312.0,PM-002
PAY-52330,OR-42254,2021-09-10 17:17:00,No,,No,,PM-002
PAY-22278,OR-58774,2018-07-28 07:47:00,No,,No,,PM-002
PAY-72817,OR-57115,2022-08-29 22:15:00,Yes,3486.0,No,,PM-002
PAY-93221,OR-96795,2019-04-30 04:53:00,Yes,4579.0,Yes,282.0,PM-002
PAY-41938,OR-36295,2024-01-21 21:31:00,Yes,4795.0,Yes,289.0,PM-002
PAY-15136,OR-96557,2019-08-11 09:20:00,No,,No,,PM-002
PAY-77376,OR-44108,2020-11-24 13:24:00,No,,No,,PM-004
PAY-17598,OR-19116,2011-04-30 12:18:00,Yes,2035.0,No,,PM-004
PAY-78934,OR-67607,2014-05-16 10:17:00,Yes,4971.0,Yes,421.0,PM-001
PAY-87662,OR-30386,2011-03-02 17:10:00,Yes,2867.0,No,,PM-002
PAY-66599,OR-78836,2008-01-04 16:04:00,No,,Yes,136.0,PM-002
PAY-75970,OR-26518,2021-03-09 14:03:00,No,,No,,PM-002
PAY-47351,OR-53520,2021-08-23 12:39:00,No,,Yes,12.0,PM-003
PAY-29217,OR-18380,2018-07-11 16:20:00,Yes,1750.0,Yes,109.0,PM-002
PAY-20412,OR-71147,2022-05-06 20:25:00,No,,No,,PM-002
PAY-47205,OR-49736,2012-10-26 19:12:00,Yes,4821.0,No,,PM-002
PAY-60700,OR-95206,2020-12-28 00:20:00,No,,No,,PM-004
PAY-38313,OR-13689,2021-06-22 19:17:00,Yes,883.0,Yes,221.0,PM-005
PAY-76844,OR-24824,2023-04-29 23:35:00,No,,No,,PM-002
PAY-26615,OR-73047,2021-11-03 17:49:00,No,,No,,PM-001
PAY-11249,OR-51129,2022-10-05 19:47:00,Yes,3693.0,No,,PM-002
PAY-56632,OR-89039,2022-02-16 12:02:00,No,,No,,PM-002
PAY-28275,OR-50357,2024-07-01 04:22:00,No,,No,,PM-002
PAY-58901,OR-16586,2020-10-11 13:21:00,No,,No,,PM-004
PAY-88445,OR-25296,2015-02-09 16:24:00,No,,Yes,310.0,PM-005
PAY-50042,OR-78896,2021-12-15 00:14:00,Yes,1863.0,Yes,419.0,PM-002
PAY-57738,OR-86662,2024-05-29 10:26:00,Yes,188.0,No,,PM-003
PAY-52831,OR-21152,2008-09-17 12:45:00,Yes,2280.0,No,,PM-002
PAY-89167,OR-22721,2015-06-18 00:47:00,No,,No,,PM-002
PAY-15218,OR-42753,2024-04-24 14:11:00,No,,Yes,194.0,PM-002
PAY-88912,OR-64357,2024-03-31 12:58:00,Yes,2301.0,No,,PM-003
PAY-61058,OR-90897,2024-04-06 00:08:00,No,,Yes,369.0,PM-004
PAY-68853,OR-80256,2022-06-02 07:35:00,Yes,1980.0,Yes,209.0,PM-005
PAY-61374,OR-48377,2021-10-27 19:46:00,No,,Yes,152.0,PM-001
PAY-42931,OR-62714,2023-05-11 23:17:00,No,,No,,PM-002
PAY-47749,OR-65322,2022-08-17 02:11:00,Yes,1434.0,Yes,230.0,PM-002
PAY-89123,OR-10491,2019-03-11 16:25:00,Yes,2705.0,Yes,97.0,PM-002
PAY-67898,OR-37915,2017-09-08 13:50:00,No,,Yes,170.0,PM-002
PAY-79343,OR-83226,2024-02-20 06:04:00,Yes,3414.0,No,,PM-002
PAY-58368,OR-84691,2024-01-21 07:53:00,No,,No,,PM-002
PAY-37624,OR-47077,2022-12-18 16:40:00,Yes,3538.0,No,,PM-002
PAY-33282,OR-31537,2018-01-30 00:40:00,Yes,1287.0,Yes,481.0,PM-002
PAY-89775,OR-86579,2023-09-23 19:00:00,No,,No,,PM-002
PAY-79168,OR-99670,2019-07-04 19:34:00,No,,Yes,275.0,PM-004
PAY-13220,OR-65839,2024-05-24 05:31:00,No,,No,,PM-002
PAY-35204,OR-17458,2018-08-10 14:29:00,No,,Yes,193.0,PM-002
PAY-27463,OR-44381,2010-03-30 14:31:00,No,,No,,PM-002
PAY-58951,OR-27185,2023-11-24 05:52:00,Yes,165.0,No,,PM-004
PAY-90579,OR-87362,2022-01-18 02:40:00,No,,Yes,230.0,PM-004
PAY-63871,OR-72413,2019-11-25 07:02:00,No,,Yes,409.0,PM-001
PAY-18114,OR-29852,2019-03-28 14:48:00,No,,No,,PM-003
PAY-66315,OR-27440,2024-06-29 14:01:00,Yes,1528.0,Yes,285.0,PM-002
PAY-83362,OR-79412,2022-10-14 08:05:00,No,,No,,PM-001
PAY-92539,OR-91684,2023-06-13 05:32:00,Yes,3561.0,No,,PM-002
PAY-84430,OR-45400,2016-04-03 23:55:00,No,,Yes,437.0,PM-002
PAY-72884,OR-92843,2023-12-24 12:26:00,Yes,2320.0,Yes,313.0,PM-005
PAY-65832,OR-91541,2021-12-08 19:30:00,No,,Yes,62.0,PM-002
PAY-22353,OR-40857,2023-01-03 10:04:00,No,,No,,PM-002
PAY-90789,OR-98151,2018-04-09 21:02:00,No,,No,,PM-003
PAY-72651,OR-61020,2020-10-18 20:53:00,Yes,1528.0,Yes,303.0,PM-002
PAY-78701,OR-65132,2022-05-14 17:30:00,Yes,4599.0,No,,PM-002
PAY-10633,OR-45133,2015-11-25 05:03:00,No,,Yes,82.0,PM-002
PAY-30275,OR-57800,2023-02-03 22:54:00,No,,Yes,266.0,PM-001
PAY-14615,OR-29522,2019-05-28 00:12:00,No,,No,,PM-002
PAY-66647,OR-11252,2017-07-12 13:58:00,Yes,1053.0,No,,PM-003
PAY-41057,OR-27074,2024-05-07 16:11:00,No,,Yes,423.0,PM-002
PAY-64033,OR-41062,2014-04-05 07:29:00,No,,Yes,118.0,PM-002
PAY-77659,OR-38355,2020-08-20 07:58:00,Yes,4073.0,Yes,428.0,PM-002
PAY-18262,OR-24183,2013-04-14 01:46:00,Yes,457.0,No,,PM-002
PAY-51792,OR-74183,2020-12-04 04:03:00,Yes,3437.0,Yes,265.0,PM-001
PAY-22169,OR-99768,2023-02-01 12:48:00,No,,Yes,88.0,PM-002
PAY-15556,OR-74988,2023-10-19 04:06:00,Yes,3876.0,No,,PM-002
PAY-20151,OR-37522,2012-09-19 20:37:00,No,,No,,PM-002
PAY-58555,OR-88942,2019-01-09 02:37:00,No,,No,,PM-002
PAY-60817,OR-15022,2022-01-27 09:36:00,No,,No,,PM-002
PAY-78844,OR-42776,2024-06-03 13:42:00,No,,Yes,450.0,PM-002
PAY-99302,OR-89656,2007-06-05 23:33:00,No,,Yes,163.0,PM-005
PAY-72592,OR-43882,2021-09-27 04:58:00,No,,No,,PM-003
