PaymentID,OrderID,PaymentDate,GiftCardUsage,GiftCardAmount,CouponUsage,CouponAmount,PaymentMethodID
PAY-75806,OR-44474,2001-02-05 23:17:00,Yes,1903.0,Yes,470.0,PM-002
PAY-60254,OR-42894,2021-08-09 21:28:00,No,,No,,PM-005
PAY-55039,OR-26677,2024-06-08 04:39:00,No,,Yes,363.0,PM-002
PAY-20698,OR-12847,2009-01-07 16:14:00,Yes,2655.0,Yes,368.0,PM-003
PAY-19469,OR-26434,2005-12-15 07:00:00,Yes,3196.0,Yes,140.0,PM-002
PAY-92377,OR-13516,2013-11-01 15:34:00,No,,Yes,144.0,PM-003
PAY-43972,OR-31419,2019-09-14 21:38:00,No,,No,,PM-004
PAY-73398,OR-99783,2024-04-25 19:39:00,Yes,839.0,Yes,49.0,PM-002
PAY-13937,OR-31688,2022-12-30 11:39:00,No,,Yes,363.0,PM-002
PAY-93821,OR-54653,2023-12-16 05:30:00,No,,Yes,128.0,PM-004
PAY-18655,OR-12200,2024-06-24 02:40:00,Yes,700.0,Yes,43.0,PM-004
PAY-16785,OR-65688,2008-01-26 20:19:00,Yes,393.0,No,,PM-002
PAY-90492,OR-71123,2015-01-31 12:57:00,Yes,4161.0,No,,PM-002
PAY-61351,OR-21345,2016-08-17 04:06:00,Yes,2649.0,No,,PM-002
PAY-78974,OR-38567,2024-03-28 00:39:00,Yes,280.0,No,,PM-002
PAY-42881,OR-23879,2023-07-05 19:56:00,Yes,3821.0,No,,PM-001
PAY-62852,OR-81370,2020-11-08 23:24:00,Yes,1156.0,No,,PM-002
PAY-74615,OR-67158,2022-07-10 14:03:00,Yes,2223.0,Yes,53.0,PM-002
PAY-46990,OR-12306,2018-09-17 21:05:00,Yes,4125.0,No,,PM-002
PAY-89690,OR-19377,2022-08-11 16:27:00,No,,No,,PM-002
PAY-51648,OR-30874,2011-04-21 22:58:00,No,,No,,PM-002
PAY-53283,OR-24145,2007-12-13 02:37:00,Yes,2083.0,No,,PM-002
PAY-58078,OR-36275,2023-06-21 04:57:00,Yes,517.0,Yes,262.0,PM-002
PAY-78690,OR-85424,2023-08-01 19:11:00,No,,Yes,86.0,PM-001
PAY-40616,OR-79674,2024-03-10 23:09:00,Yes,4890.0,No,,PM-005
PAY-52790,OR-62778,2018-06-28 13:45:00,No,,Yes,125.0,PM-002
PAY-45601,OR-59218,2023-09-02 19:16:00,No,,No,,PM-002
PAY-97997,OR-38091,2024-04-19 01:41:00,No,,No,,PM-001
PAY-32202,OR-93018,2023-06-08 16:52:00,Yes,1917.0,No,,PM-002
PAY-55012,OR-64070,2022-09-17 17:09:00,Yes,2112.0,Yes,269.0,PM-001
PAY-50570,OR-36559,2024-06-23 00:35:00,Yes,2136.0,No,,PM-002
PAY-25727,OR-46353,2023-02-17 03:38:00,No,,No,,PM-002
PAY-56374,OR-97732,2023-04-22 18:14:00,No,,Yes,261.0,PM-002
PAY-43661,OR-35688,2019-12-11 12:19:00,No,,No,,PM-001
PAY-40148,OR-25380,2020-03-25 09:08:00,Yes,1366.0,Yes,73.0,PM-002
PAY-41740,OR-40907,2014-11-08 07:11:00,Yes,3291.0,No,,PM-002
PAY-91794,OR-72060,2012-11-01 09:38:00,No,,Yes,282.0,PM-003
PAY-14563,OR-33273,2024-02-02 23:27:00,No,,No,,PM-002
PAY-16360,OR-84941,2022-05-02 14:19:00,No,,Yes,462.0,PM-001
PAY-70651,OR-65189,2021-03-31 20:33:00,No,,No,,PM-002
PAY-91593,OR-29778,2023-12-16 05:25:00,Yes,192.0,No,,PM-004
PAY-93923,OR-71745,2007-12-25 02:46:00,No,,Yes,255.0,PM-002
PAY-61837,OR-10675,2024-01-09 17:19:00,Yes,3995.0,Yes,239.0,PM-001
PAY-53833,OR-51470,2023-01-24 19:53:00,Yes,1933.0,No,,PM-002
PAY-70902,OR-19909,2024-06-10 23:24:00,No,,No,,PM-002
PAY-64612,OR-18798,2010-02-03 00:01:00,No,,Yes,227.0,PM-005
PAY-47638,OR-14013,2023-07-13 10:56:00,Yes,1255.0,Yes,292.0,PM-002
PAY-85332,OR-85367,2024-05-09 19:13:00,No,,Yes,265.0,PM-002
PAY-38687,OR-20721,2015-04-04 15:21:00,Yes,4259.0,No,,PM-004
PAY-40986,OR-11139,2024-01-07 19:01:00,No,,No,,PM-003
PAY-82641,OR-23660,2023-08-18 18:27:00,Yes,2982.0,No,,PM-002
PAY-60284,OR-55459,2012-04-08 16:07:00,Yes,470.0,Yes,41.0,PM-002
