PaymentID,OrderID,PaymentDate,GiftCardUsage,GiftCardAmount,CouponUsage,CouponAmount,PaymentMethodID
PAY-126038,OR-126037,2026-06-02 15:28:06+00:00,Yes,3733.6,Yes,160.2,PM-002
PAY-126039,OR-126038,2026-06-02 12:18:02+00:00,Yes,3729.27,No,,PM-005
PAY-126040,OR-126039,2026-06-02 16:50:19+00:00,Yes,2167.42,No,,PM-001
PAY-126041,OR-126040,2026-06-02 10:08:40+00:00,Yes,1240.04,Yes,320.91,PM-005
PAY-126042,OR-126041,2026-06-02 13:02:01+00:00,No,,No,,PM-005
PAY-126043,OR-126042,2026-06-02 23:11:43+00:00,No,,Yes,252.14,PM-003
PAY-126044,OR-126043,2026-06-02 10:31:58+00:00,Yes,3520.88,Yes,203.11,PM-002
PAY-126045,OR-126044,2026-06-02 16:28:20+00:00,No,,Yes,95.99,PM-004
PAY-126046,OR-126045,2026-06-02 15:42:34+00:00,Yes,4252.72,Yes,321.68,PM-001
PAY-126047,OR-126046,2026-06-02 12:09:30+00:00,No,,No,,PM-001
PAY-126048,OR-126047,2026-06-02 15:51:53+00:00,No,,Yes,298.42,PM-005
PAY-126049,OR-126048,2026-06-02 14:40:52+00:00,No,,No,,PM-002
PAY-126050,OR-126049,2026-06-02 14:00:02+00:00,Yes,3340.19,Yes,397.88,PM-001
PAY-126051,OR-126050,2026-06-02 10:16:40+00:00,No,,Yes,221.06,PM-004
PAY-126052,OR-126051,2026-06-02 22:59:56+00:00,No,,Yes,216.58,PM-002
PAY-126053,OR-126052,2026-06-02 13:03:40+00:00,No,,No,,PM-001
PAY-126054,OR-126053,2026-06-03 00:39:12+00:00,No,,No,,PM-002
PAY-126055,OR-126054,2026-06-02 21:42:47+00:00,No,,Yes,220.75,PM-005
PAY-126056,OR-126055,2026-06-03 01:48:30+00:00,No,,No,,PM-003
PAY-126057,OR-126056,2026-06-02 14:16:25+00:00,Yes,4126.83,Yes,412.27,PM-004
PAY-126058,OR-126057,2026-06-03 00:28:58+00:00,No,,Yes,144.94,PM-005
PAY-126059,OR-126058,2026-06-02 12:46:30+00:00,No,,Yes,344.95,PM-004
PAY-126060,OR-126059,2026-06-02 16:10:17+00:00,No,,Yes,169.2,PM-002
PAY-126061,OR-126060,2026-06-02 17:04:15+00:00,No,,No,,PM-005
PAY-126062,OR-126061,2026-06-02 12:09:05+00:00,No,,No,,PM-004
PAY-126063,OR-126062,2026-06-02 09:11:32+00:00,No,,Yes,498.8,PM-002
PAY-126064,OR-126063,2026-06-02 16:34:43+00:00,No,,Yes,390.1,PM-001
PAY-126065,OR-126064,2026-06-03 02:00:49+00:00,No,,No,,PM-002
