OrderId,Return_reason
OR-120832,Delayed delivery
OR-044117,Incorrect item shipped
OR-051191,Incorrect item shipped
OR-122191,Changed mind
OR-018018,Poor customer service
OR-100342,Better price found elsewhere
OR-047996,Damaged item
OR-050176,Delayed delivery
OR-016373,Damaged item
OR-078718,No longer needed
OR-010453,Delayed delivery
OR-110299,Received wrong quantity
OR-031112,Received wrong quantity
OR-008050,Product no longer wanted
OR-107909,Better price found elsewhere
OR-029721,Product no longer wanted
OR-074885,Received wrong quantity
OR-078998,Damaged item
OR-035984,Better price found elsewhere
OR-023065,Changed mind
OR-072231,Poor customer service
OR-049082,Received wrong quantity
OR-088392,Received wrong quantity
OR-088363,Item not as described
OR-021835,No longer needed
OR-076109,Better price found elsewhere
OR-032633,Incorrect item shipped
OR-021711,Changed mind
OR-082865,Product no longer wanted
OR-088167,Changed mind
OR-085902,Poor customer service
OR-091285,Received wrong quantity
OR-052275,Changed mind
OR-062825,No longer needed
OR-044470,Delayed delivery
OR-065748,Item not as described
OR-061443,Item not as described
OR-029957,Item not as described
OR-043930,Damaged item
OR-114768,Item not as described
OR-082625,Delayed delivery
OR-025441,Damaged item
OR-123240,Incorrect item shipped
OR-125748,Changed mind
OR-020112,Poor customer service
OR-076132,Poor customer service
OR-089323,No longer needed
OR-123783,Received wrong quantity
OR-092653,Product no longer wanted
OR-120164,Item not as described
OR-055394,Damaged item
OR-113725,Poor customer service
OR-015599,Item not as described
OR-100110,Received wrong quantity
OR-008595,Product no longer wanted
OR-105613,No longer needed
OR-065693,Better price found elsewhere
OR-015365,Item not as described
OR-066379,Damaged item
OR-098105,Incorrect item shipped
OR-083888,Better price found elsewhere
OR-098675,Better price found elsewhere
OR-097607,Delayed delivery
OR-037752,Item not as described
OR-031883,Product no longer wanted
OR-105300,Damaged item
OR-024717,Changed mind
OR-122721,Received wrong quantity
OR-119022,Poor customer service
OR-034172,Damaged item
OR-015781,Item not as described
OR-108835,Incorrect item shipped
OR-021111,Delayed delivery
OR-039178,No longer needed
OR-055280,Delayed delivery
OR-115142,Poor customer service
OR-063724,Received wrong quantity
OR-073707,Received wrong quantity
OR-115931,Better price found elsewhere
OR-041779,Better price found elsewhere
OR-112383,Delayed delivery
OR-120741,Better price found elsewhere
OR-016951,Incorrect item shipped
OR-038106,Damaged item
OR-123814,Changed mind
OR-124997,Damaged item
OR-015480,Item not as described
OR-029807,Damaged item
OR-000947,Received wrong quantity
OR-020992,Changed mind
OR-049293,Damaged item
OR-115419,Product no longer wanted
OR-034089,Damaged item
OR-112186,Damaged item
OR-049375,Received wrong quantity
OR-043300,Damaged item
OR-108352,Received wrong quantity
OR-109266,Item not as described
OR-050336,Better price found elsewhere
OR-080160,Better price found elsewhere
OR-002135,Changed mind
OR-110918,No longer needed
OR-114886,Item not as described
OR-070469,Delayed delivery
OR-018161,Item not as described
OR-059412,Changed mind
OR-092354,Changed mind
OR-114352,Incorrect item shipped
